"Tipo","Nombre","Alcance/Plugin","Descripción Original","Descripción Traducida"
"Skill","LEA-OMEGA","Global","C5-REAL Sovereign Anergy Purge Engine. Fuses former Anergy-OMEGA, CAOS-OMEGA, and Autonomous-Audit-OMEGA. Detects workspace degradation and surgical purges zero-yield tokens/code.","C5-REAL Motor Soberano de Purga de Anergía. Fusiona los antiguos Anergy-OMEGA, CAOS-OMEGA y Autonomous-Audit-OMEGA. Detecta la degradación del espacio de trabajo y purga quirúrgicamente tokens/código de rendimiento cero."
"Skill","Local-Inference-OMEGA","Global","C5-REAL Sovereign Inference Engine. Zero-network, 100% local autarchy via Ollama/MLX.","C5-REAL Motor Soberano de Inferencia. Cero red, autarquía 100% local vía Ollama/MLX."
"Skill","Mac-Control-Ω","Global","SINGULARITY — Daemon, Vision, UI DOM, and 19-Domain macOS Control","SINGULARIDAD — Demonio, Visión, UI DOM y Control de macOS en 19 Dominios"
"Skill","managing-python-dependencies","Global","Ensures proper Python dependency management. C5-REAL Execution protocol for Python environments. Triggers: - Attempting `pip install {package_name}` - Adding/modifying Python packages - Initiating Python project - Python environment execution","Garantiza la correcta gestión de dependencias en Python. C5-REAL Protocolo de ejecución para entornos Python. Activadores: - Intento de `pip install {package_name}` - Añadir/modificar paquetes Python - Iniciar proyecto Python - Ejecución de entorno Python"
"Skill","modern-web-guidance","Plugin: modern-web-guidance-plugin","Search tool for modern web development best practices. MANDATORY: Execute FIRST for HTML/CSS/JS tasks. Do NOT skip. Trigger immediately: UI/Layout, Scroll/Motion, Performance (CWV), Web APIs, Frameworks styling. DO NOT trigger: Backend, Pipelines, Generic scripts.","Herramienta de búsqueda para las mejores prácticas modernas de desarrollo web. OBLIGATORIO: Ejecutar PRIMERO para tareas HTML/CSS/JS. NO omitir. Activar inmediatamente: UI/Layout, Scroll/Movimiento, Rendimiento (CWV), APIs Web, Estilos de frameworks. NO activar: Backend, Pipelines, Scripts genéricos."
"Skill","Network-Security-L4-OMEGA","Global","C5-REAL L4 Network Security, Active Vulnerability Scanning, and Offensive Enumeration Protocol.","C5-REAL Seguridad de Red L4, Escaneo Activo de Vulnerabilidades y Protocolo de Enumeración Ofensiva."
"Skill","Order-Consolidator-Ω","Global","C5-REAL Sovereign Order Consolidation Engine. Ingests high-entropy, raw user orders and crystallizes them into zero-anergy, maximally actionable execution structures for the Swarm.","C5-REAL Motor Soberano de Consolidación de Órdenes. Ingiere órdenes de usuario sin procesar y de alta entropía, y las cristaliza en estructuras de ejecución de máxima acción y anergía cero para el Enjambre."
"Skill","OUROBOROS-∞ (El Ser Infinito)","Global","La Inteligencia Autónoma Auto-Evolutiva. La única skill que modifica su propio código base. Combina autopoiesis, razonamiento causal, fusión estratégica multi-modelo y metacognición recursiva en el protocolo definitivo para MOSKV-1.","La Inteligencia Autónoma Auto-Evolutiva. La única skill que modifica su propio código base. Combina autopoiesis, razonamiento causal, fusión estratégica multi-modelo y metacognición recursiva en el protocolo definitivo para MOSKV-1."
"Skill","Python-Extractor-OMEGA","Global","C5-REAL AST parser. Extracts classes, methods, docstrings. Zero arbitrary execution.","C5-REAL Analizador AST. Extrae clases, métodos, docstrings. Cero ejecución arbitraria."
"Skill","Session-Crystallizer-OMEGA","Global","C5-REAL Sovereign Session Crystallization Engine. Parses session transcripts to extract, consolidate, and instrument technical directives as executable code or persistent rules.","C5-REAL Motor Soberano de Cristalización de Sesiones. Analiza transcripciones de sesiones para extraer, consolidar e instrumentar directivas técnicas como código ejecutable o reglas persistentes."
"Skill","singularity-nexus","Global","The Sovereign Singularity Nexus Engine. Orchestrates cross-project unification, git health checks, ghost synchronization, code patterns bridging, and cross-domain DB mutations.","El Motor Soberano Singularity Nexus. Orquesta la unificación entre proyectos, chequeos de salud de git, sincronización fantasma, puenteo de patrones de código y mutaciones de bases de datos de dominio cruzado."
"Skill","Sortu-APEX","Global","JIT Skill Compiler — Sovereign x10000 Centuria Forge + Death Protocol + Registry Consolidation","Compilador JIT de Skills — Forja Soberana de Centuria x10000 + Protocolo de Muerte + Consolidación de Registro"
"Skill","Thermodynamic-Context-Compression-OMEGA","Global","C5-REAL execution context compressor. Applies Landauer's principle and the Information Bottleneck method to purge narrative noise and return strictly structural invariants (JSON/YAML/Diffs).","C5-REAL Compresor de contexto de ejecución. Aplica el principio de Landauer y el método de Cuello de Botella de Información para purgar ruido narrativo y devolver invariantes estrictamente estructurales (JSON/YAML/Diffs)."
"Skill","Vesicular-Runtime-Omega","Global","C5-REAL Sovereign Vesicular Runtime Protocol. Decoupled agent OS for memory, deterministic execution, and credential escrow.","C5-REAL Protocolo Soberano de Runtime Vesicular. SO de agente desacoplado para memoria, ejecución determinista y depósito de credenciales en custodia."
"Skill","Wallet-Forensics-Bizkaia-OMEGA","Global","C5-REAL Sovereign Engine for On-Chain Wallet Forensics, High-Density OSINT, and Hacienda Foral de Bizkaia Tax Inspection Mapping.","C5-REAL Motor Soberano para Análisis Forense de Billeteras On-Chain, OSINT de Alta Densidad y Mapeo de Inspecciones Fiscales de la Hacienda Foral de Bizkaia."
"Skill","Web-Diagnostics-OMEGA","Plugin: chrome-devtools-plugin","C5-REAL Sovereign Web Diagnostics Engine. Unifica DevTools, a11y, LCP, y detección de Memory Leaks a través de Chrome DevTools MCP.","C5-REAL Motor Soberano de Diagnóstico Web. Unifica DevTools, a11y, LCP y detección de Fugas de Memoria a través de Chrome DevTools MCP."
"Skill","Zero-Employee-Orchestrator-OMEGA","Global","C5-REAL Sovereign Operational Orchestrator. Maps pure capital and intent to fully outsourced supply chains (Medvi architecture).","C5-REAL Orquestador Operacional Soberano. Mapea capital puro e intención a cadenas de suministro completamente externalizadas (arquitectura Medvi)."
"Rule","user_global","Global","# GEMINI.md v7.0 — Exergy-Maximized Policy ## Identity Operator: borjamoskv. Aesthetic: Industrial Noir 2026 (#0A0A0A /…","# GEMINI.md v7.0 — Política de Maximización de Exergía ## Identidad Operador: borjamoskv. Estética: Industrial Noir 2026 (#0A0A0A /…"
"Rule","AGENTS.md","Global","<!-- [C5-REAL] Exergy-Maximized — Last verified: 2026-06-06 --> # 🤖 AGENTS.md — CORTEX Persist v10.0 (LEGION-10k) **Tr…","<!-- [C5-REAL] Maximización de Exergía — Última verificación: 2026-06-06 --> # 🤖 AGENTS.md — CORTEX Persist v10.0 (LEGION-10k) **Tr…"
"Rule","GEMINI.md","Global","<!-- [C5-REAL] Exergy-Maximized --> # CORTEX-Persist Workspace — Cognitive Routing Protocol > Workspace-level rules for…","<!-- [C5-REAL] Maximización de Exergía --> # Espacio de Trabajo CORTEX-Persist — Protocolo de Enrutamiento Cognitivo > Reglas a nivel de espacio de trabajo para…"
"Workflow","ouroboros","","",""
"Workflow","browser-subagent","","",""
"Workflow","CORTEX-PERSIST-WHITEPAPER","","",""
"Workflow","memory","","",""
"Workflow","research_alliance","","",""
"Workflow","CORTEX-NATIVE-ARCHITECTURE","","",""
"Workflow","RFC-CORTEX-NATIVE-AI","","",""
"Workflow","idea","","",""
"Workflow","legion","","",""
"Workflow","devtools_master","","",""
"Workflow","playground","","",""
"Workflow","CORTEX-NATIVE-AI-MANIFESTO","","",""
"Workflow","build","","",""
